Common,Scientific,Type,Abundance,Category,Abbreviation
Savannah Sparrow,Passerculus sandwichensis,Accidental,1-10 Records,,SAVSP
Lark Sparrow,Chondestes grammacus,Accidental,1-10 Records,,LARSP
Eastern Towhee,Pipilo erythrophthalmus,Accidental,1-10 Records,,RUSTO
Bobolink,Dolichonyx oryzivorus,Accidental,10 - 100 Records,,BOBOL
Baltimore Oriole,Icterus galbula,Accidental,10 - 100 Records,,NOROR
Red-winged Blackbird,Agelaius phoeniceus,Accidental,1-10 Records,,
Brown-headed Cowbird,Molothrus ater,Accidental,1-10 Records,,
Ovenbird,Seiurus aurocapilla,Accidental,1-10 Records,,OVENB
Northern Waterthrush,Parkesia noveboracensis,Accidental,1-10 Records,,NORWA
Golden-winged Warbler,Vermivora chrysoptera,Accidental,1-10 Records,,
Black-and-white Warbler,Mniotilta varia,Accidental,10 - 100 Records,,BAWWA
Tennessee Warbler,Leiothlypis peregrina,Accidental,1-10 Records,,TENWA
Common Yellowthroat,Geothlypis trichas,Accidental,10 - 100 Records,,COMYE
Hooded Warbler,Setophaga citrina,Accidental,1-10 Records,,HOOWA
American Redstart,Setophaga ruticilla,Accidental,1-10 Records,AD,AMERE
Cape May Warbler,Setophaga tigrina,Accidental,1-10 Records,,CAMWA
Northern Parula,Setophaga americana,Accidental,10 - 100 Records,,NORPA
Magnolia Warbler,Setophaga magnolia,Accidental,1-10 Records,,MAGWA
Bay-breasted Warbler,Setophaga castanea,Accidental,1-10 Records,,
Blackburnian Warbler,Setophaga fusca,Accidental,1-10 Records,,
Yellow Warbler,Setophaga aestiva,Accidental,1-10 Records,,YLWWA
Chestnut-sided Warbler,Setophaga pensylvanica,Accidental,1-10 Records,,
Blackpoll Warbler,Setophaga striata,Accidental,10 - 100 Records,,BLAWA
Yellow-rumped Warbler,Setophaga coronata,Accidental,10 - 100 Records,,YERWA
Wilson’s Warbler,Cardellina pusilla,Accidental,1-10 Records,,
Summer Tanager,Piranga rubra,Accidental,1-10 Records,,SUMTA
Scarlet Tanager,Piranga olivacea,Accidental,1-10 Records,,SCATA
Rose-breasted Grosbeak,Pheucticus ludovicianus,Accidental,10 - 100 Records,,ROBGR
Indigo Bunting,Passerina cyanea,Accidental,1-10 Records,,INDBU
